Dealer Number,Dealer Name,Store Address Line 1,Store City
1798720,AUTO EXPRESS SUZUKI,6160 SIEGEL RD,WATERFORD
1799735,AUTO HOUSE,933 S. HURON,LINWOOD
1795010,AUTO LUBE PLUS,12665 ROUTE 438,IRVING
1986817,AUTO OPTIONS INC,1754 SECOND STREET,MASON
1896594,Auto Repair Specialists,3358 IL RT 26 SOUTH,Freeport
1795743,AUTO SERVANT LLC,1956 SPRUCE ST,DEFIANCE
1799900,AUTO TECH TOWING,1778 MARION WALDO RD,MARION
1796031,AUTO-MECCA TIRES & REPAIR,3140 STATE ROAD 46,MOUNT DORA
1796592,AUTOFIXX,145 WALKER PKWY,FAYETTEVILLE
1794499,AUTOMASTERS,311 S. MAIN ST.,KENDALLVILLE
1794541,AUTOMOTIVE EXPERTS,3024 AUGUSTA RD,WEST COLUMBIA
1801041,AUTOMOTIVE SPECIAL SERVICES LLC,220 FRONT ST.,QUAKERTOWN
2023375,Automotive Specialties,41976 Avenida Alvarado,temecula
1801190,AUTOMOTIVE SUPER CENTER,1109 W. LOOP 281,LONGVIEW
1799005,Automotive Tires & Service,6229 JEFFERSON HWY,HARAHAN
1932676,Autoservicios Ensenada,12930 Chrisman Rd,Houston
1797647,Avenue Tire & Service,5797 W US 10,LUDINGTON
1921237,Avery's Auto Group,473 W Genessee,Lapeer
1795794,AW DAVIS TIRE & AUTO CO.,P.O. BOX 522,BRAZORIA
1797371,AWESOME AUTO,E9338 150TH AVE.,MONDOVI
1797523,B & B 66 Service Station,501 NORTH 2ND ST,CLARKSVILLE
1797947,B & B AUTOMOTIVE,913 N. FRONT ST. RT 31,MCHENRY
1794302,B & B FARM SUPPLY,201 EAST MAIN STREET,GAMALIEL
1794090,B & B Tire,PO BOX 161,HILLSVILLE
1794090,B & B Tire,PO BOX 161,HILLSVILLE
1798452,B & B TIRE CENTER,1240 CAMPBELL LANE,BOWLING GREEN
1794317,B & D REPAIR SERVICES,7006 ROUTE 68,RIMERSBURG
1798353,B & R TIRE,69341 PRATTSVILLE RD.,MC ARTHUR
1796013,B & S AUTOMOTIVE,5587 FLOYD HWY S,WILLIS
1796013,B & S AUTOMOTIVE,5587 FLOYD HWY S,WILLIS
1800513,B & W TIRE,301 MAIN ST,TORONTO
1935790,B & Z Performance,1111 Conrad Hilton Blvd,Cisco
1798902,B K AUTO SALES,7311 E US HWY 64,LEXINGTON
1795251,B&B TIRES & WHEELS,5401 OAK SPRINGS DR,ARLINGTON
1793822,B&C TIRE AND AUTO CENTER INC.,3705 KERMIT HWY,ODESSA
1799437,B&D AUTO REPAIR,650 WINDY GAP RD,ALEPPO
1798842,B&E TIRES,509 PROGRESS WAY,ATHENS
1796044,B&K Tire Center,700 N. WALLACE WILKERSON BLVD.,LIBERTY
1795040,B&M TIRE,7240 US 62,CUNNINGHAM
1904416,B&M Tire and Automotive,413 E Main Street,Warsaw
1798483,B&R TRACTOR,89574 ALABAMA HWY 9,LINEVILLE
2028029,B&R WHOLESALE TIRE,116 SOUTH MERIDIAN ROAD,YOUNGSTOWN
1794455,B&S DISCOUNT TIRE,10340 RT. 60,FREDONIA
1796051,B&T AUTOMOTIVE,6780 WEST PEARL CITY RD,FREEPORT
1796264,Babcock Service Center,134 W MAIN ST RT20,WESTFIELD
1922345,Back Mountain Auto Specialists,149 North Main St,Shavertown
1801367,Back Road Wash & Lube,1351 Shoemaker Avenue,West Wyoming
1798520,BAILEY TIRE & AUTO,755 S Federal Blvd,RIVERTON
1795725,Baileys Tire Service Inc.,114 PIPING ROCK DR,HOUMA
1795103,BAKERS CITY TIRE,546 EAST COURT STREET,MARION
1800231,BAKOS AUTO REPAIR,928 US HWY 224,NOVA
1796704,BALDY MOUNTAIN TIRE,P O BOX 821,PLAINS
1796684,BALLARD COUNTY COOP,475 WEST KY DRIVE,LACENTER
1800167,BALTAZAR TIRE,1435 MULDOON RD,ANCHORAGE
1796086,Bangor Tire & Auto,411 S 1ST STREET,BANGOR
1800703,BARDY'S  4SEASON TIRE,5963 S Main St,SANDY CREEK
1936703,Barely Used Tires & Alignment,5260 Milford Rd.,Stroudsburg
1800376,BARGAIN BARN,1811 DEADWOOD AVE,RAPID CITY
1796934,Bargain Tire Outlet,4244 PORTSMOUTH BLVD,PORTSMOUTH
1796934,Bargain Tire Outlet,4244 PORTSMOUTH BLVD,PORTSMOUTH
1797109,Baris Auto,135 NORTH MAIN STREET,FAIRPORT
1799389,BARKER'S TIRE,15771 Staunton Turnpike,SMITHVILLE
1800810,BARKERS TOWING/RECOVERY & TIRE,9706 STATE ROUTE 41,WASHINGTON COURTHOUSE
1931870,Barnard Tire & Automotive,202 N Main St,Hoisington
1800849,BARNES CROSSING AUTO SALES,2819 Hwy 145 N,Saltillo
1796999,BARNES CROSSING HYUNDAI MAZDA,3983 NORTH GLOSTER STREET,TUPELO
1796819,BARNES GARAGE INC,522 EAST PENN ST,BEDFORD
1798300,BARNES TIRE,316 LOGAN DRIVE,WESTMINSTER
1800329,BARNES TIRE & AG,814 N. SEBASTIAN,WEST HELENA
1800333,Barnsley Tire,2535 Pearl St,Boulder
1799800,BARNWELL MR. HANDY LLC,339 JACKSON ST,BARNWELL
1800221,BARRETTS TIRE,1506 DONELSON PWKY,DOVER
1796203,BARRICK TIRE LLC,455 CENTER RD,NEWVILLE
1794495,BARRY AUTO & TRUCK,962 US-290 Bus,HEMPSTEAD
1800233,BARSTOW TIRE,100 W. MAIN,BARSTOW
1799250,BARTLETT TIRE AND LUBE,204 HWY. 1 SOUTH,MARVELL
1799151,BARTLETT TIRE CENTER,501 W MAIN PMB 173,HEBER SPRINGS
1898385,Bartsch's Auto Service Inc,900 Maple Rd,Elma
1793781,BASILS SERVICE CENETR,28 LINCOLN AVE.,ANGOLA
1799520,BAUER TIRE INC.,714 W. MORGAN STREET,SPENCER
1798608,BAXTER TIRE & AUTO,2904 MOUNTAIN RD,PASADENA
1795613,BAY AREA AUTOMOTIVE SERVICES,1702 W FIG STREET,TAMPA
1798445,BAYSHORE AUTOMOTIVE,2801 E ADAMO DR,TAMPA
1799845,BEACHWOOD TIRE CENTER,708 ATLANTIC CITY BLVD,BEACHWOOD
1796479,BEACON TIRE,49523 US HWY 93,POLSON
1800908,"BEAR TIRE, INC.",5757 N. BROADWAY,PARK CITY
1799864,BEAU'S TIRE & AUTO,1617 N. FOURTH ST.,CHILLICOTHE
1968854,Becker Tire,904 Washington St,Great Bend
1796740,Beckers Tire Wholesalers,424 W. MAIN ST.,FREMONT
1800542,BEE'S & DEE'S INC,PO BOX 341,WILSONVILLE
1794787,BEHANNA AUTO & TIRE,189 MAIN STREET,NEW EAGLE
1797750,BELKNAP TIRE & AUTO REPAIR LLC,670 UNION AVE,LACONIA
1801105,BELL'S TIRE BARN,1451 PUBLIC WELLS,MARTIN
1795266,BELLE MEAD GARAGE,2454 RT 206,BELLE MEAD
1799218,BELLEVUE TIRE & AUTO SERVICE,2111 FRANKLIN ST.,BELLEVUE
1796838,BELLINO'S TRUE TREAD TIRE,4478 BOARDMAN CANFIELD RD STE B,CANFIELD
1797170,"BELTON TIRE SERVICE, INC.",203 ANDERSON STREET,BELTON
1796197,BEN'S TIRE & LUBE,7835 Business Row,Orange
1795851,BENIGNO TIRE EXHANGE INC.,58 JEWELL ST,GARFIELD
1796852,Bennett Automotive,149 Walkers Mill Rd,Bethel
1798473,BENNETT FORD,PO Box 548,ST FRANCISVILLE
1800895,BENNETTS TIRE & AUTO,5261 HWY 21,HOUSE SPRINGS
1796328,BENNYS SALES & SERVICE DBA BENNYS GARAGE ,PO BOX 529,CHESTER
1922601,Berenas Automotive Center,624 Robbins Ave,Niles
1801002,BERGEY'S COMMERCIAL TIRE CENTER,190 CHARLES ST,HARRISONBURG
1793624,BERGS GARAGE INC,4760 E SR 64,ST ANTHONY
1799071,BERNIES AUTOMOTIVE,"501 S LADD ST, #A",PONTIAC
1796691,BERNIES TIRE SERVICE INC,5740 TORRESDALE AVE,PHILADELPHIA
1797489,Berry Tire & Automotive Inc.,1001 N. MILWAUKEE AVE.,LIBERTYVILLE
1794355,"BEST AUTO SERVICE CENTER, INC",2945 ROUTE 611,TANNERSVILLE
1795955,BEST BUY TIRE,4890 SUPERIOR AVE,CLEVELAND
1796665,BEST ONE ACTION TIRE,841 28TH ST. SW,GRAND RAPIDS
1794513,"BEST ONE FLEET SERVICE OF EVANSVILLE, INC",6640 TONEY LANE,EVANSVILLE
1794659,BEST ONE OF MT. STERLING,PO BOX 64,MOUNT STERLING
1796836,BEST ONE OF SEYMOUR,2188 N LAKEVIEW DRIVE,SEYMOUR
1793963,BEST ONE STAR TIRE,5370 RICHARDVILLE RD,LAFAYETTE
1800033,BEST ONE TIRE & AUTO CARE OF RICHMOND INC,100 N 7TH ST,RICHMOND
1795559,BEST ONE TIRE & AUTO OF GRANT CO.,1801 S WESTERN AV,MARION
1794988,BEST ONE TIRE & SERVICE,1708 WEST MAIN ST.,ROBINSON
1795414,BEST ONE TIRE & SERVICE OF AUBURN,1712 S WAYNE ST,AUBURN
1797831,"BEST ONE TIRE & SERVICE OF CLINTON COUNTY, INC",8322 Old US HWY 50,BREESE
1798568,"BEST ONE TIRE & SERVICE OF EVANSVILLE, INC",1241 TUTOR LANE,EVANSVILLE
1796230,BEST ONE TIRE & SERVICE OF HARRISBURG,130 S. COMMERCIAL,HARRISBURG
1794570,"BEST ONE TIRE & SERVICE OF HENDERSON, INC",141 N. GARDEN MILE RD.,HENDERSON
1800043,BEST ONE TIRE & SERVICE OF HILLSBORO,108 WILLETTSVILLE PK.,HILLSBORO
1801361,BEST ONE TIRE & SERVICE OF LIMA INC.,701 E. HANTHORN RD.,LIMA
1798221,BEST ONE TIRE & SERVICE OF MARION IN,302 E 4TH ST,MARION
1794141,"BEST ONE TIRE & SERVICE OF MARION, INC",1001 N. COURT,MARION
1798262,"BEST ONE TIRE & SERVICE OF NEWBURGH, INC",7800 FRUITWOOD LANE,NEWBURGH
1794986,"BEST ONE TIRE & SERVICE OF PRINCETON, INC",1342 WEST 100 NORTH,PRINCETON
1798252,"BEST ONE TIRE & SERVICE OF VINCENNES, INC",18 S. 6TH ST.,VINCENNES
1797584,BEST ONE TIRE OF ANGOLA,1101 N WAYNE ST,ANGOLA
1798940,BEST ONE TIRE OF OWENSBORO,1342 W 100 N,PRINCETON
1799059,BEST TIRE AND WHEEL SHOP,437 STEPHEN PORT,FALL BROOK
1987515,Best Tires LLC,1335 Sibley Rd,Minden
1800712,BEST-ONE TIRE AND SERVICE OF MID-AMERICA,5999 MEIJER DRIVE,MILFORD
1796173,Bestire Inc.,8927 S. SPRINKLE RD.,PORTAGE
1796983,BESTYEAR AUTO AND TIRE,647 H ST.,CHULA VISTA
1795410,BETHEL MARINE & AUTO,2306 STATE ROUTE 125,AMELIA
1795782,BIG BEAR MUFFLER INC.,1313 N. COUNTYLINE ST.,FOSTORIA
1793703,BIG BEND TIRE,1300 North Jefferson St,MONTICELLO
1800086,BIG BENS TIRES & AUTO REPAIRS,110 North 3rd St,SAND LAKE
1797891,Big Boys Toys,115 LEONARD STREET,BENNINGTON
1982937,Big C's Tire,708 W Avenue A,Syracuse
1799546,BIG D'S TIRES,150 1ST DR SW,NEW PHILADELPHIA
1799307,BIG L TIRE CO.,4040 EARLY RD.,HARRISONBURG
1944480,Big League Tires & Auto Service,7951-B Tanner Williams Road,Mobile
1797719,BIG MAC'S TIRE,127 HAMPTON AVENUE,GREENWOOD
1796766,BIG R CAR CARE INC,3531 SUMMER AVE,MEMPHIS
1797411,BIG RAPIDS TIRE INC.,1300 North State,BIG RAPIDS
1795544,BIG SKY TIRE,3848 BROOKS,MISSOULA
1799701,BIG SKY TIRE & AUTO LLC,259 DAIRY RD,KALISPELL
1794432,Big T Tire,2211 Manchester Expressway,Columbus
1799787,BILL BELL TIRE,P0 B0X 325,VANDERGRIFT
1937153,Bill's Professional Towing,140 N Hetzler Court,Angola
1796324,BILL'S TIRE CENTER,1000 PATTERSON ST.,OGDENSBURG
1797048,BILL'S TIRE SERVICE,P O BOX 187,RAVENSWOOD
1798704,BILL’S TIRE COMPANY,29454 FM. 1488,WALLER
1800279,BILLS DISCOUNT WHEEL & TIRE,806 63RD ST,HATTIESBURG
1796607,BIRDS MILLINGTON TRANSMISSIONS,7656 HWY 51 NORTH,MILLINGTON
1796553,Bishop Tire,495 Richmond St,Mt Vernon
1898399,Bison Fleet Specialists,1615 William Street,Buffalo
1795717,BJ'S AUTO  REPAIR,772 SUIT B HWY 98,PORT ST. JOE
1794510,BLACKS TIRE INC.,1415 EAST MAIN STREET,WESTMINISTER
1801460,BLACKS TIRE SERVICE INC.,104 NORTH PINE ST.,BATESBURG-LEESVILLE
1794281,BLACKWELL TIRE LLC,1268 WEST 2ND ST.,OTTUMWA
1800234,BLAIR TIRE AND FEED,115 Hughes Dr,BLAIR
2023427,Blake's Brakes & Tires,2714 Caplis Sligo Plantation Dr,Bossier City
1983781,Blanchard Automotive,212 E Washington Street,Golconda
1798933,BLANKENSHIPS PIT STOP,P.O. BOX 264,DANVILLE
1801365,BLEIFUS TIRE SERVICE INC.,4274 NATIONAL ROAD,TRIDELPHIA
